Model: SAM2
  miou
    TextOverlay|sev3: mean=0.4867 (n=4952)
    BoxOverlay|sev3: mean=0.3727 (n=4952)
    RandomText|sev3: mean=0.4729 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.5083 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.2776 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.5029 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.5019 (n=4952)
    AllBandNoise(0.38)|sev3: mean=0.5044 (n=4952)
  fragmentation
    Base|sev0: mean=23.9998 (n=4952)
    Translation(+4)|sev1: mean=22.3039 (n=4952)
    Translation(-4)|sev1: mean=22.7793 (n=4952)
    PadCrop(+4)|sev1: mean=21.0850 (n=4952)
    PadCrop(-4)|sev1: mean=23.4249 (n=4952)
    Scale(0.95)|sev1: mean=23.0969 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=21.3253 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=23.1587 (n=4952)
    Rotation(+10)|sev1: mean=93.4307 (n=4952)
    Rotation(-10)|sev1: mean=90.5192 (n=4952)
    TextOverlay|sev1: mean=24.4546 (n=4952)
    BoxOverlay|sev1: mean=26.4580 (n=4952)
    RandomText|sev1: mean=24.7290 (n=4952)
    LowPassKeep(0.18)|sev1: mean=24.3138 (n=4952)
    HighPassKeep(0.18)|sev1: mean=43.2981 (n=4952)
    LowBandNoise(0.18)|sev1: mean=23.3849 (n=4952)
    HighBandNoise(0.18)|sev1: mean=23.8910 (n=4952)
    AllBandNoise(0.18)|sev1: mean=23.7863 (n=4952)
    Translation(+8)|sev2: mean=22.9933 (n=4952)
    Translation(-8)|sev2: mean=22.6947 (n=4952)
    PadCrop(+8)|sev2: mean=22.0642 (n=4952)
    PadCrop(-8)|sev2: mean=24.0818 (n=4952)
    Scale(0.90)|sev2: mean=22.1672 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=19.6646 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=21.8417 (n=4952)
    Rotation(+20)|sev2: mean=138.2009 (n=4952)
    Rotation(-20)|sev2: mean=131.4943 (n=4952)
    TextOverlay|sev2: mean=24.6529 (n=4952)
    BoxOverlay|sev2: mean=29.0216 (n=4952)
    RandomText|sev2: mean=25.4043 (n=4952)
    LowPassKeep(0.28)|sev2: mean=21.7462 (n=4952)
    HighPassKeep(0.28)|sev2: mean=45.7203 (n=4952)
    LowBandNoise(0.28)|sev2: mean=23.3970 (n=4952)
    HighBandNoise(0.28)|sev2: mean=24.1397 (n=4952)
    AllBandNoise(0.28)|sev2: mean=24.0923 (n=4952)
    Translation(+12)|sev3: mean=22.7060 (n=4952)
    Translation(-12)|sev3: mean=23.2361 (n=4952)
    PadCrop(+12)|sev3: mean=22.2437 (n=4952)
    PadCrop(-12)|sev3: mean=25.4909 (n=4952)
    Scale(0.85)|sev3: mean=21.8695 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=18.3552 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=18.9552 (n=4952)
    Rotation(+30)|sev3: mean=156.3792 (n=4952)
    Rotation(-30)|sev3: mean=147.9192 (n=4952)
    TextOverlay|sev3: mean=25.3990 (n=4952)
    BoxOverlay|sev3: mean=32.3855 (n=4952)
    RandomText|sev3: mean=25.6464 (n=4952)
    LowPassKeep(0.38)|sev3: mean=22.6842 (n=4952)
    HighPassKeep(0.38)|sev3: mean=58.7058 (n=4952)
    LowBandNoise(0.38)|sev3: mean=22.9509 (n=4952)
    HighBandNoise(0.38)|sev3: mean=24.0729 (n=4952)
    AllBandNoise(0.38)|sev3: mean=23.5618 (n=4952)

Model: SAM3
  miou
    Base|sev0: mean=0.6777 (n=4952)
    Translation(+4)|sev1: mean=0.6802 (n=4952)
    Translation(-4)|sev1: mean=0.6798 (n=4952)
    PadCrop(+4)|sev1: mean=0.6836 (n=4952)
    PadCrop(-4)|sev1: mean=0.6778 (n=4952)
    Scale(0.95)|sev1: mean=0.6777 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.6891 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.6845 (n=4952)
    Rotation(+10)|sev1: mean=0.6822 (n=4952)
    Rotation(-10)|sev1: mean=0.6773 (n=4952)
    TextOverlay|sev1: mean=0.6672 (n=4952)
    BoxOverlay|sev1: mean=0.5440 (n=4952)
    RandomText|sev1: mean=0.6615 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.6751 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.4746 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.6772 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.6778 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.6788 (n=4952)
    Translation(+8)|sev2: mean=0.6838 (n=4952)
    Translation(-8)|sev2: mean=0.6848 (n=4952)
    PadCrop(+8)|sev2: mean=0.6846 (n=4952)
    PadCrop(-8)|sev2: mean=0.6792 (n=4952)
    Scale(0.90)|sev2: mean=0.6800 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.6905 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.6835 (n=4952)
    Rotation(+20)|sev2: mean=0.6802 (n=4952)
    Rotation(-20)|sev2: mean=0.6722 (n=4952)
    TextOverlay|sev2: mean=0.6650 (n=4952)
    BoxOverlay|sev2: mean=0.4822 (n=4952)
    RandomText|sev2: mean=0.6562 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.6799 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.3822 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.6778 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.6773 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.6777 (n=4952)
    Translation(+12)|sev3: mean=0.6828 (n=4952)
    Translation(-12)|sev3: mean=0.6812 (n=4952)
    PadCrop(+12)|sev3: mean=0.6881 (n=4952)
    PadCrop(-12)|sev3: mean=0.6759 (n=4952)
    Scale(0.85)|sev3: mean=0.6797 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.6942 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.6853 (n=4952)
    Rotation(+30)|sev3: mean=0.6696 (n=4952)
    Rotation(-30)|sev3: mean=0.6679 (n=4952)
    TextOverlay|sev3: mean=0.6592 (n=4952)
    BoxOverlay|sev3: mean=0.4219 (n=4952)
    RandomText|sev3: mean=0.6480 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.6789 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.2039 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.6747 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.6762 (n=4952)
